Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,0.685000,0.719000,0.667000,0.700000,0.700000,907300
2019-01-03,0.671000,0.750000,0.667000,0.735000,0.735000,621500
2019-01-04,0.771000,0.790000,0.747000,0.760000,0.760000,640900
2019-01-07,0.796000,0.830000,0.764000,0.800000,0.800000,869800
2019-01-08,0.809000,0.830000,0.780000,0.818000,0.818000,757100
2019-01-09,0.835000,0.840000,0.790000,0.840000,0.840000,736600
2019-01-10,0.859000,0.859000,0.788000,0.810000,0.810000,898500
2019-01-11,0.766000,0.796000,0.750000,0.767000,0.767000,1450100
2019-01-14,0.781000,0.783000,0.743000,0.755000,0.755000,677900
2019-01-15,0.759000,0.766000,0.714000,0.728000,0.728000,543000
2019-01-16,0.719000,0.757000,0.700000,0.717000,0.717000,492100
2019-01-17,0.719000,0.770000,0.710000,0.755000,0.755000,1139600
2019-01-18,0.782000,0.790000,0.745000,0.760000,0.760000,548600
2019-01-22,0.783000,0.795000,0.717000,0.753000,0.753000,618000
2019-01-23,0.746000,0.762000,0.670000,0.729000,0.729000,1036000
2019-01-24,0.710000,0.734000,0.689000,0.691000,0.691000,726300
2019-01-25,0.691000,0.729000,0.679000,0.724000,0.724000,586400
2019-01-28,0.718000,0.736000,0.698000,0.720000,0.720000,1743700
2019-01-29,0.720000,0.740000,0.693000,0.708000,0.708000,1323300
2019-01-30,0.746000,0.746000,0.697000,0.723000,0.723000,574600
2019-01-31,0.727000,0.779000,0.703000,0.764000,0.764000,941000
2019-02-01,0.783000,0.821000,0.757000,0.790000,0.790000,2020300
2019-02-04,0.790000,0.916000,0.780000,0.881000,0.881000,3076400
2019-02-05,0.880000,0.887000,0.805000,0.828000,0.828000,1377500
2019-02-06,0.846000,0.854000,0.800000,0.808000,0.808000,652000
2019-02-07,0.774000,0.848000,0.774000,0.810000,0.810000,2153300
2019-02-08,0.826000,0.844000,0.809000,0.809000,0.809000,777800
2019-02-11,0.809000,0.827000,0.777000,0.777000,0.777000,506100
2019-02-12,0.796000,0.840000,0.780000,0.805000,0.805000,650600
2019-02-13,0.821000,0.830000,0.783000,0.803000,0.803000,682300
2019-02-14,0.790000,0.807000,0.785000,0.785000,0.785000,350700
2019-02-15,0.807000,0.833000,0.795000,0.830000,0.830000,2159200
2019-02-19,0.855000,0.867000,0.819000,0.832000,0.832000,1201900
2019-02-20,0.810000,0.850000,0.787000,0.845000,0.845000,2249600
2019-02-21,0.846000,0.897000,0.836000,0.884000,0.884000,1853200
2019-02-22,0.890000,0.922000,0.889000,0.902000,0.902000,2054100
2019-02-25,0.909000,0.939000,0.811000,0.811000,0.811000,3688800
2019-02-26,0.813000,0.853000,0.800000,0.839000,0.839000,1410900
2019-02-27,0.851000,0.860000,0.819000,0.832000,0.832000,624700
2019-02-28,0.857000,0.857000,0.819000,0.825000,0.825000,934600
2019-03-01,0.811000,0.842000,0.807000,0.823000,0.823000,762000
2019-03-04,0.820000,0.822000,0.794000,0.801000,0.801000,866700
2019-03-05,0.800000,0.829000,0.799000,0.811000,0.811000,383300
2019-03-06,0.802000,0.818000,0.730000,0.761000,0.761000,2131700
2019-03-07,0.758000,0.773000,0.712000,0.720000,0.720000,1493500
2019-03-08,0.720000,0.756000,0.690000,0.755000,0.755000,832900
2019-03-11,0.764000,0.777000,0.736000,0.755000,0.755000,714300
2019-03-12,0.750000,0.773000,0.730000,0.746000,0.746000,1076300
2019-03-13,0.746000,0.763000,0.732000,0.760000,0.760000,458100
2019-03-14,0.760000,0.778000,0.740000,0.750000,0.750000,630300
2019-03-15,0.758000,0.781000,0.725000,0.767000,0.767000,520000
2019-03-18,0.772000,0.782000,0.739000,0.750000,0.750000,1108100
2019-03-19,0.752000,0.775000,0.715000,0.730000,0.730000,1887200
2019-03-20,0.732000,0.738000,0.690000,0.717000,0.717000,918000
2019-03-21,0.714000,0.737000,0.695000,0.705000,0.705000,1546800
2019-03-22,0.693000,0.720000,0.691000,0.710000,0.710000,958900
2019-03-25,0.720000,0.739000,0.697000,0.713000,0.713000,989300
2019-03-26,0.713000,0.729000,0.700000,0.710000,0.710000,338500
2019-03-27,0.710000,0.725000,0.690000,0.692000,0.692000,1201800
2019-03-28,0.656000,0.702000,0.650000,0.670000,0.670000,1146800
2019-03-29,0.675000,0.686000,0.657000,0.664000,0.664000,592700
2019-04-01,0.650000,0.685000,0.650000,0.675000,0.675000,1009700
2019-04-02,0.674000,0.694000,0.663000,0.677000,0.677000,478400
2019-04-03,0.677000,0.732000,0.666000,0.719000,0.719000,1347400
2019-04-04,0.724000,0.731000,0.700000,0.713000,0.713000,698500
2019-04-05,0.705000,0.730000,0.700000,0.710000,0.710000,435100
2019-04-08,0.710000,0.732000,0.681000,0.693000,0.693000,622400
2019-04-09,0.656000,0.696000,0.656000,0.679000,0.679000,786000
2019-04-10,0.663000,0.679000,0.631000,0.673000,0.673000,497400
2019-04-11,0.691000,0.691000,0.648000,0.661000,0.661000,298800
2019-04-12,0.659000,0.679000,0.647000,0.660000,0.660000,610300
2019-04-15,0.658000,0.672000,0.633000,0.635000,0.635000,777500
2019-04-16,0.656000,0.658000,0.627000,0.640000,0.640000,476100
2019-04-17,0.634000,0.650000,0.610000,0.617000,0.617000,745400
2019-04-18,0.677000,0.700000,0.635000,0.685000,0.685000,1084800
2019-04-22,0.690000,0.706000,0.679000,0.690000,0.690000,367400
2019-04-23,0.707000,0.721000,0.675000,0.682000,0.682000,531600
2019-04-24,0.696000,0.696000,0.658000,0.670000,0.670000,592100
2019-04-25,0.662000,0.678000,0.637000,0.663000,0.663000,421300
2019-04-26,0.680000,0.680000,0.630000,0.632000,0.632000,407200
2019-04-29,0.633000,0.657000,0.610000,0.610000,0.610000,936000
2019-04-30,0.635000,0.635000,0.587000,0.610000,0.610000,918300
2019-05-01,0.592000,0.623000,0.592000,0.597000,0.597000,981100
2019-05-02,0.612000,0.612000,0.577000,0.590000,0.590000,802900
2019-05-03,0.600000,0.605000,0.550000,0.568000,0.568000,1149700
2019-05-06,0.558000,0.620000,0.530000,0.606000,0.606000,680800
2019-05-07,0.600000,0.611000,0.560000,0.574000,0.574000,594200
2019-05-08,0.559000,0.583000,0.547000,0.570000,0.570000,334600
2019-05-09,0.584000,0.588000,0.547000,0.567000,0.567000,568500
2019-05-10,0.542000,0.600000,0.542000,0.594000,0.594000,552300
2019-05-13,0.595000,0.600000,0.555000,0.566000,0.566000,362200
2019-05-14,0.552000,0.595000,0.552000,0.559000,0.559000,337400
2019-05-15,0.569000,0.580000,0.550000,0.553000,0.553000,359300
2019-05-16,0.555000,0.568000,0.538000,0.566000,0.566000,342100
2019-05-17,0.580000,0.580000,0.531000,0.568000,0.568000,268200
2019-05-20,0.592000,0.599000,0.516000,0.555000,0.555000,210600
2019-05-21,0.539000,0.590000,0.539000,0.545000,0.545000,419600
2019-05-22,0.571000,0.590000,0.550000,0.560000,0.560000,586000
